Learner,Email,Progress
Learner 1472,Learner 1472@example.com,90
Learner 1473,Learner 1473@example.com,94
Learner 1474,Learner 1474@example.com,94
Learner 1475,Learner 1475@example.com,88
Learner 1476,Learner 1476@example.com,96
Learner 1477,Learner 1477@example.com,98
Learner 1478,Learner 1478@example.com,96
Learner 1479,Learner 1479@example.com,90
Learner 1480,Learner 1480@example.com,86
Learner 1481,Learner 1481@example.com,96
Learner 1482,Learner 1482@example.com,86
Learner 1483,Learner 1483@example.com,96
Learner 1484,Learner 1484@example.com,86
Learner 1485,Learner 1485@example.com,74
Learner 1486,Learner 1486@example.com,22
Learner 1487,Learner 1487@example.com,64
Learner 1488,Learner 1488@example.com,6
Learner 1489,Learner 1489@example.com,40
Learner 1490,Learner 1490@example.com,62
Learner 1491,Learner 1491@example.com,60
Learner 1492,Learner 1492@example.com,44
Learner 1493,Learner 1493@example.com,42
Learner 1494,Learner 1494@example.com,24
Learner 1495,Learner 1495@example.com,48
Learner 1496,Learner 1496@example.com,46
Learner 1497,Learner 1497@example.com,72
Learner 1498,Learner 1498@example.com,30
Learner 1499,Learner 1499@example.com,20
Learner 1500,Learner 1500@example.com,78
Learner 1501,Learner 1501@example.com,64
Learner 1502,Learner 1502@example.com,54
Learner 1503,Learner 1503@example.com,50
Learner 1504,Learner 1504@example.com,50
Learner 1505,Learner 1505@example.com,54
Learner 1506,Learner 1506@example.com,56
Learner 1507,Learner 1507@example.com,38
Learner 1508,Learner 1508@example.com,50
Learner 1509,Learner 1509@example.com,40
Learner 1510,Learner 1510@example.com,16
Learner 1511,Learner 1511@example.com,78
Learner 1512,Learner 1512@example.com,34
Learner 1513,Learner 1513@example.com,60
Learner 1514,Learner 1514@example.com,30
Learner 1515,Learner 1515@example.com,82
Learner 1516,Learner 1516@example.com,82
Learner 1517,Learner 1517@example.com,80
Learner 1518,Learner 1518@example.com,78
Learner 1519,Learner 1519@example.com,62
Learner 1520,Learner 1520@example.com,70
Learner 1521,Learner 1521@example.com,84
Learner 1522,Learner 1522@example.com,74
Learner 1523,Learner 1523@example.com,98
Learner 1524,Learner 1524@example.com,98
Learner 1525,Learner 1525@example.com,82
Learner 1526,Learner 1526@example.com,84
Learner 1527,Learner 1527@example.com,84
Learner 1528,Learner 1528@example.com,72
Learner 1529,Learner 1529@example.com,76
Learner 1530,Learner 1530@example.com,74
Learner 1531,Learner 1531@example.com,72
Learner 1532,Learner 1532@example.com,88
Learner 1533,Learner 1533@example.com,78
Learner 1534,Learner 1534@example.com,86
Learner 1535,Learner 1535@example.com,72
Learner 1536,Learner 1536@example.com,88
Learner 1537,Learner 1537@example.com,80
Learner 1538,Learner 1538@example.com,74
Learner 1539,Learner 1539@example.com,74
Learner 1540,Learner 1540@example.com,92
Learner 1541,Learner 1541@example.com,86
Learner 1542,Learner 1542@example.com,74
Learner 1543,Learner 1543@example.com,98
Learner 1544,Learner 1544@example.com,86
Learner 1545,Learner 1545@example.com,86
Learner 1546,Learner 1546@example.com,72
Learner 1547,Learner 1547@example.com,82
Learner 1548,Learner 1548@example.com,68
Learner 1549,Learner 1549@example.com,76
Learner 1550,Learner 1550@example.com,64
Learner 1551,Learner 1551@example.com,60
Learner 1552,Learner 1552@example.com,98
Learner 1553,Learner 1553@example.com,92
Learner 1554,Learner 1554@example.com,90
Learner 1555,Learner 1555@example.com,88
Learner 1556,Learner 1556@example.com,74
Learner 1557,Learner 1557@example.com,90
Learner 1558,Learner 1558@example.com,70
Learner 1559,Learner 1559@example.com,78
Learner 1560,Learner 1560@example.com,78
Learner 1561,Learner 1561@example.com,74
Learner 1562,Learner 1562@example.com,86
Learner 1563,Learner 1563@example.com,82
Learner 1564,Learner 1564@example.com,68
Learner 1565,Learner 1565@example.com,68
Learner 1566,Learner 1566@example.com,80
Learner 1567,Learner 1567@example.com,96
Learner 1568,Learner 1568@example.com,94
Learner 1569,Learner 1569@example.com,88
Learner 1570,Learner 1570@example.com,84
Learner 1571,Learner 1571@example.com,94
Learner 1572,Learner 1572@example.com,96
Learner 1573,Learner 1573@example.com,86
Learner 1574,Learner 1574@example.com,96
Learner 1575,Learner 1575@example.com,84
Learner 1576,Learner 1576@example.com,90
Learner 1577,Learner 1577@example.com,94
Learner 1578,Learner 1578@example.com,90
Learner 1579,Learner 1579@example.com,94
Learner 1580,Learner 1580@example.com,94
Learner 1581,Learner 1581@example.com,88
Learner 1582,Learner 1582@example.com,96
Learner 1583,Learner 1583@example.com,98
Learner 1584,Learner 1584@example.com,96
Learner 1585,Learner 1585@example.com,90
Learner 1586,Learner 1586@example.com,86
Learner 1587,Learner 1587@example.com,96
Learner 1588,Learner 1588@example.com,86
Learner 1589,Learner 1589@example.com,96
Learner 1590,Learner 1590@example.com,86
Learner 1591,Learner 1591@example.com,74
Learner 1592,Learner 1592@example.com,22
Learner 1593,Learner 1593@example.com,64
Learner 1594,Learner 1594@example.com,6
Learner 1595,Learner 1595@example.com,40
Learner 1596,Learner 1596@example.com,62
Learner 1597,Learner 1597@example.com,60
Learner 1598,Learner 1598@example.com,44
Learner 1599,Learner 1599@example.com,42
Learner 1600,Learner 1600@example.com,24
Learner 1601,Learner 1601@example.com,48
Learner 1602,Learner 1602@example.com,46
Learner 1603,Learner 1603@example.com,72
Learner 1604,Learner 1604@example.com,30
Learner 1605,Learner 1605@example.com,20
Learner 1606,Learner 1606@example.com,78
Learner 1607,Learner 1607@example.com,64
Learner 1608,Learner 1608@example.com,54
Learner 1609,Learner 1609@example.com,50
Learner 1610,Learner 1610@example.com,50
Learner 1611,Learner 1611@example.com,54
Learner 1612,Learner 1612@example.com,56
Learner 1613,Learner 1613@example.com,38
Learner 1614,Learner 1614@example.com,50
Learner 1615,Learner 1615@example.com,40
Learner 1616,Learner 1616@example.com,16
Learner 1617,Learner 1617@example.com,78
Learner 1618,Learner 1618@example.com,34
Learner 1619,Learner 1619@example.com,60
Learner 1620,Learner 1620@example.com,30
Learner 1621,Learner 1621@example.com,82
Learner 1622,Learner 1622@example.com,82
Learner 1623,Learner 1623@example.com,80
Learner 1624,Learner 1624@example.com,78
Learner 1625,Learner 1625@example.com,62
Learner 1626,Learner 1626@example.com,70
Learner 1627,Learner 1627@example.com,84
Learner 1628,Learner 1628@example.com,74
Learner 1629,Learner 1629@example.com,98
Learner 1630,Learner 1630@example.com,98
Learner 1631,Learner 1631@example.com,82
Learner 1632,Learner 1632@example.com,84
Learner 1633,Learner 1633@example.com,84
Learner 1634,Learner 1634@example.com,72
Learner 1635,Learner 1635@example.com,76
Learner 1636,Learner 1636@example.com,74
Learner 1637,Learner 1637@example.com,72
Learner 1638,Learner 1638@example.com,88
Learner 1639,Learner 1639@example.com,78
Learner 1640,Learner 1640@example.com,86
Learner 1641,Learner 1641@example.com,72
Learner 1642,Learner 1642@example.com,88
Learner 1643,Learner 1643@example.com,80
Learner 1644,Learner 1644@example.com,74
Learner 1645,Learner 1645@example.com,74
Learner 1646,Learner 1646@example.com,92
Learner 1647,Learner 1647@example.com,86
Learner 1648,Learner 1648@example.com,74
Learner 1649,Learner 1649@example.com,98
Learner 1650,Learner 1650@example.com,86
Learner 1651,Learner 1651@example.com,86
Learner 1652,Learner 1652@example.com,72
Learner 1653,Learner 1653@example.com,82
Learner 1654,Learner 1654@example.com,68
Learner 1655,Learner 1655@example.com,76
Learner 1656,Learner 1656@example.com,64
Learner 1657,Learner 1657@example.com,60
Learner 1658,Learner 1658@example.com,98
Learner 1659,Learner 1659@example.com,92
Learner 1660,Learner 1660@example.com,90
Learner 1661,Learner 1661@example.com,88
Learner 1662,Learner 1662@example.com,74
Learner 1663,Learner 1663@example.com,90
Learner 1664,Learner 1664@example.com,70
Learner 1665,Learner 1665@example.com,78
Learner 1666,Learner 1666@example.com,78
Learner 1667,Learner 1667@example.com,74
Learner 1668,Learner 1668@example.com,86
Learner 1669,Learner 1669@example.com,82
Learner 1670,Learner 1670@example.com,68
Learner 1671,Learner 1671@example.com,68
Learner 1672,Learner 1672@example.com,80
Learner 1673,Learner 1673@example.com,96
Learner 1674,Learner 1674@example.com,94
Learner 1675,Learner 1675@example.com,88
Learner 1676,Learner 1676@example.com,84
Learner 1677,Learner 1677@example.com,94
Learner 1678,Learner 1678@example.com,96
Learner 1679,Learner 1679@example.com,86
Learner 1680,Learner 1680@example.com,96
Learner 1681,Learner 1681@example.com,84
Learner 1682,Learner 1682@example.com,90
Learner 1683,Learner 1683@example.com,94
Learner 1684,Learner 1684@example.com,90
Learner 1685,Learner 1685@example.com,94
Learner 1686,Learner 1686@example.com,94
Learner 1687,Learner 1687@example.com,88
Learner 1688,Learner 1688@example.com,96
Learner 1689,Learner 1689@example.com,98
Learner 1690,Learner 1690@example.com,96
Learner 1691,Learner 1691@example.com,90
Learner 1692,Learner 1692@example.com,86
Learner 1693,Learner 1693@example.com,96
Learner 1694,Learner 1694@example.com,86
Learner 1695,Learner 1695@example.com,96
Learner 1696,Learner 1696@example.com,86
Learner 1697,Learner 1697@example.com,74
Learner 1698,Learner 1698@example.com,22
Learner 1699,Learner 1699@example.com,64
Learner 1700,Learner 1700@example.com,6
Learner 1701,Learner 1701@example.com,40
Learner 1702,Learner 1702@example.com,62
Learner 1703,Learner 1703@example.com,60
Learner 1704,Learner 1704@example.com,44
Learner 1705,Learner 1705@example.com,42
Learner 1706,Learner 1706@example.com,24
Learner 1707,Learner 1707@example.com,48
Learner 1708,Learner 1708@example.com,46
Learner 1709,Learner 1709@example.com,72
Learner 1710,Learner 1710@example.com,30
Learner 1711,Learner 1711@example.com,20
Learner 1712,Learner 1712@example.com,78
Learner 1713,Learner 1713@example.com,64
Learner 1714,Learner 1714@example.com,54
Learner 1715,Learner 1715@example.com,50
Learner 1716,Learner 1716@example.com,50
Learner 1717,Learner 1717@example.com,54
Learner 1718,Learner 1718@example.com,56
Learner 1719,Learner 1719@example.com,38
Learner 1720,Learner 1720@example.com,50
Learner 1721,Learner 1721@example.com,40
Learner 1722,Learner 1722@example.com,16
Learner 1723,Learner 1723@example.com,78
Learner 1724,Learner 1724@example.com,34
Learner 1725,Learner 1725@example.com,60
Learner 1726,Learner 1726@example.com,30
Learner 1727,Learner 1727@example.com,82
Learner 1728,Learner 1728@example.com,82
Learner 1729,Learner 1729@example.com,80
Learner 1730,Learner 1730@example.com,78
Learner 1731,Learner 1731@example.com,62
Learner 1732,Learner 1732@example.com,70
Learner 1733,Learner 1733@example.com,84
Learner 1734,Learner 1734@example.com,74
Learner 1735,Learner 1735@example.com,98
Learner 1736,Learner 1736@example.com,98
Learner 1737,Learner 1737@example.com,82
Learner 1738,Learner 1738@example.com,84
Learner 1739,Learner 1739@example.com,84
Learner 1740,Learner 1740@example.com,72
Learner 1741,Learner 1741@example.com,76
Learner 1742,Learner 1742@example.com,74
Learner 1743,Learner 1743@example.com,72
Learner 1744,Learner 1744@example.com,88
Learner 1745,Learner 1745@example.com,78
Learner 1746,Learner 1746@example.com,86
Learner 1747,Learner 1747@example.com,72
Learner 1748,Learner 1748@example.com,88
Learner 1749,Learner 1749@example.com,80
Learner 1750,Learner 1750@example.com,74
Learner 1751,Learner 1751@example.com,74
Learner 1752,Learner 1752@example.com,92
Learner 1753,Learner 1753@example.com,86
Learner 1754,Learner 1754@example.com,74
Learner 1755,Learner 1755@example.com,98
Learner 1756,Learner 1756@example.com,86
Learner 1757,Learner 1757@example.com,86
Learner 1758,Learner 1758@example.com,72
Learner 1759,Learner 1759@example.com,82
Learner 1760,Learner 1760@example.com,68
Learner 1761,Learner 1761@example.com,76
Learner 1762,Learner 1762@example.com,64
Learner 1763,Learner 1763@example.com,60
Learner 1764,Learner 1764@example.com,98
Learner 1765,Learner 1765@example.com,92
Learner 1766,Learner 1766@example.com,90
Learner 1767,Learner 1767@example.com,88
Learner 1768,Learner 1768@example.com,74
Learner 1769,Learner 1769@example.com,90
Learner 1770,Learner 1770@example.com,70
Learner 1771,Learner 1771@example.com,78
Learner 1772,Learner 1772@example.com,78
Learner 1773,Learner 1773@example.com,74
Learner 1774,Learner 1774@example.com,86
Learner 1775,Learner 1775@example.com,82
Learner 1776,Learner 1776@example.com,68
Learner 1777,Learner 1777@example.com,68
Learner 1778,Learner 1778@example.com,80
Learner 1779,Learner 1779@example.com,96
Learner 1780,Learner 1780@example.com,94
Learner 1781,Learner 1781@example.com,88
Learner 1782,Learner 1782@example.com,84
Learner 1783,Learner 1783@example.com,94
Learner 1784,Learner 1784@example.com,96
Learner 1785,Learner 1785@example.com,86
Learner 1786,Learner 1786@example.com,96
Learner 1787,Learner 1787@example.com,84
Learner 1788,Learner 1788@example.com,90
Learner 1789,Learner 1789@example.com,94
Learner 1790,Learner 1790@example.com,90
Learner 1791,Learner 1791@example.com,94
Learner 1792,Learner 1792@example.com,94
Learner 1793,Learner 1793@example.com,88
Learner 1794,Learner 1794@example.com,96
Learner 1795,Learner 1795@example.com,98
Learner 1796,Learner 1796@example.com,96
Learner 1797,Learner 1797@example.com,90
Learner 1798,Learner 1798@example.com,86
Learner 1799,Learner 1799@example.com,96
Learner 1800,Learner 1800@example.com,86
Learner 1801,Learner 1801@example.com,96
Learner 1802,Learner 1802@example.com,86
Learner 1803,Learner 1803@example.com,74
Learner 1804,Learner 1804@example.com,22
Learner 1805,Learner 1805@example.com,64
Learner 1806,Learner 1806@example.com,6
Learner 1807,Learner 1807@example.com,40
Learner 1808,Learner 1808@example.com,62
Learner 1809,Learner 1809@example.com,60
Learner 1810,Learner 1810@example.com,44
Learner 1811,Learner 1811@example.com,42
Learner 1812,Learner 1812@example.com,24
Learner 1813,Learner 1813@example.com,48
Learner 1814,Learner 1814@example.com,46
Learner 1815,Learner 1815@example.com,72
Learner 1816,Learner 1816@example.com,30
Learner 1817,Learner 1817@example.com,20
Learner 1818,Learner 1818@example.com,78
Learner 1819,Learner 1819@example.com,64
Learner 1820,Learner 1820@example.com,54
Learner 1821,Learner 1821@example.com,50
Learner 1822,Learner 1822@example.com,50
Learner 1823,Learner 1823@example.com,54
Learner 1824,Learner 1824@example.com,56
Learner 1825,Learner 1825@example.com,38
Learner 1826,Learner 1826@example.com,50
Learner 1827,Learner 1827@example.com,40
Learner 1828,Learner 1828@example.com,16
Learner 1829,Learner 1829@example.com,78
Learner 1830,Learner 1830@example.com,34
Learner 1831,Learner 1831@example.com,60
Learner 1832,Learner 1832@example.com,30
Learner 1833,Learner 1833@example.com,82
Learner 1834,Learner 1834@example.com,82
Learner 1835,Learner 1835@example.com,80
Learner 1836,Learner 1836@example.com,78
Learner 1837,Learner 1837@example.com,62
Learner 1838,Learner 1838@example.com,70
Learner 1839,Learner 1839@example.com,84
Learner 1840,Learner 1840@example.com,74
Learner 1841,Learner 1841@example.com,98
Learner 1842,Learner 1842@example.com,98
Learner 1843,Learner 1843@example.com,82
Learner 1844,Learner 1844@example.com,84
Learner 1845,Learner 1845@example.com,84
Learner 1846,Learner 1846@example.com,72
Learner 1847,Learner 1847@example.com,76
Learner 1848,Learner 1848@example.com,74
Learner 1849,Learner 1849@example.com,72
Learner 1850,Learner 1850@example.com,88
Learner 1851,Learner 1851@example.com,78
Learner 1852,Learner 1852@example.com,86
Learner 1853,Learner 1853@example.com,72
Learner 1854,Learner 1854@example.com,88
Learner 1855,Learner 1855@example.com,80
Learner 1856,Learner 1856@example.com,74
Learner 1857,Learner 1857@example.com,74
Learner 1858,Learner 1858@example.com,92
Learner 1859,Learner 1859@example.com,86
Learner 1860,Learner 1860@example.com,74
Learner 1861,Learner 1861@example.com,98
Learner 1862,Learner 1862@example.com,86
Learner 1863,Learner 1863@example.com,86
Learner 1864,Learner 1864@example.com,72
Learner 1865,Learner 1865@example.com,82
Learner 1866,Learner 1866@example.com,68
Learner 1867,Learner 1867@example.com,76
Learner 1868,Learner 1868@example.com,64
Learner 1869,Learner 1869@example.com,60
Learner 1870,Learner 1870@example.com,98
Learner 1871,Learner 1871@example.com,92
Learner 1872,Learner 1872@example.com,90
Learner 1873,Learner 1873@example.com,88
Learner 1874,Learner 1874@example.com,74
Learner 1875,Learner 1875@example.com,90
Learner 1876,Learner 1876@example.com,70
Learner 1877,Learner 1877@example.com,78
Learner 1878,Learner 1878@example.com,78
Learner 1879,Learner 1879@example.com,74
Learner 1880,Learner 1880@example.com,86
Learner 1881,Learner 1881@example.com,82
Learner 1882,Learner 1882@example.com,68
Learner 1883,Learner 1883@example.com,68
Learner 1884,Learner 1884@example.com,80
Learner 1885,Learner 1885@example.com,96
Learner 1886,Learner 1886@example.com,94
Learner 1887,Learner 1887@example.com,88
Learner 1888,Learner 1888@example.com,84
Learner 1889,Learner 1889@example.com,94
Learner 1890,Learner 1890@example.com,96
Learner 1891,Learner 1891@example.com,86
Learner 1892,Learner 1892@example.com,96
Learner 1893,Learner 1893@example.com,84
Learner 1894,Learner 1894@example.com,90
Learner 1895,Learner 1895@example.com,94
Learner 1896,Learner 1896@example.com,90
Learner 1897,Learner 1897@example.com,94
Learner 1898,Learner 1898@example.com,94
Learner 1899,Learner 1899@example.com,88
Learner 1900,Learner 1900@example.com,96
Learner 1901,Learner 1901@example.com,98
Learner 1902,Learner 1902@example.com,96
Learner 1903,Learner 1903@example.com,90
Learner 1904,Learner 1904@example.com,86
Learner 1905,Learner 1905@example.com,96
Learner 1906,Learner 1906@example.com,86
Learner 1907,Learner 1907@example.com,96
Learner 1908,Learner 1908@example.com,86
Learner 1909,Learner 1909@example.com,74
Learner 1910,Learner 1910@example.com,22
Learner 1911,Learner 1911@example.com,64
Learner 1912,Learner 1912@example.com,6
Learner 1913,Learner 1913@example.com,40
Learner 1914,Learner 1914@example.com,62
Learner 1915,Learner 1915@example.com,60
Learner 1916,Learner 1916@example.com,44
Learner 1917,Learner 1917@example.com,42
Learner 1918,Learner 1918@example.com,24
Learner 1919,Learner 1919@example.com,48
Learner 1920,Learner 1920@example.com,46
Learner 1921,Learner 1921@example.com,72
Learner 1922,Learner 1922@example.com,30
Learner 1923,Learner 1923@example.com,20
Learner 1924,Learner 1924@example.com,78
Learner 1925,Learner 1925@example.com,64
Learner 1926,Learner 1926@example.com,54
Learner 1927,Learner 1927@example.com,50
Learner 1928,Learner 1928@example.com,50
Learner 1929,Learner 1929@example.com,54
Learner 1930,Learner 1930@example.com,56
Learner 1931,Learner 1931@example.com,38
Learner 1932,Learner 1932@example.com,50
Learner 1933,Learner 1933@example.com,40
Learner 1934,Learner 1934@example.com,16
Learner 1935,Learner 1935@example.com,78
Learner 1936,Learner 1936@example.com,34
Learner 1937,Learner 1937@example.com,60
Learner 1938,Learner 1938@example.com,30
Learner 1939,Learner 1939@example.com,82
Learner 1940,Learner 1940@example.com,82
Learner 1941,Learner 1941@example.com,80
Learner 1942,Learner 1942@example.com,78
Learner 1943,Learner 1943@example.com,62
Learner 1944,Learner 1944@example.com,70
Learner 1945,Learner 1945@example.com,84
Learner 1946,Learner 1946@example.com,74
Learner 1947,Learner 1947@example.com,98
Learner 1948,Learner 1948@example.com,98
Learner 1949,Learner 1949@example.com,82
Learner 1950,Learner 1950@example.com,84
Learner 1951,Learner 1951@example.com,84
Learner 1952,Learner 1952@example.com,72
Learner 1953,Learner 1953@example.com,76
Learner 1954,Learner 1954@example.com,74
Learner 1955,Learner 1955@example.com,72
Learner 1956,Learner 1956@example.com,88
Learner 1957,Learner 1957@example.com,78
Learner 1958,Learner 1958@example.com,86
Learner 1959,Learner 1959@example.com,72
Learner 1960,Learner 1960@example.com,88
Learner 1961,Learner 1961@example.com,80
Learner 1962,Learner 1962@example.com,74
Learner 1963,Learner 1963@example.com,74
Learner 1964,Learner 1964@example.com,92
Learner 1965,Learner 1965@example.com,86
Learner 1966,Learner 1966@example.com,74
Learner 1967,Learner 1967@example.com,98
Learner 1968,Learner 1968@example.com,86
Learner 1969,Learner 1969@example.com,86
Learner 1970,Learner 1970@example.com,72
Learner 1971,Learner 1971@example.com,82
Learner 1972,Learner 1972@example.com,68
Learner 1973,Learner 1973@example.com,76
Learner 1974,Learner 1974@example.com,64
Learner 1975,Learner 1975@example.com,60
Learner 1976,Learner 1976@example.com,98
Learner 1977,Learner 1977@example.com,92
Learner 1978,Learner 1978@example.com,90
Learner 1979,Learner 1979@example.com,88
Learner 1980,Learner 1980@example.com,74
Learner 1981,Learner 1981@example.com,90
Learner 1982,Learner 1982@example.com,70
Learner 1983,Learner 1983@example.com,78
Learner 1984,Learner 1984@example.com,78
Learner 1985,Learner 1985@example.com,74
Learner 1986,Learner 1986@example.com,86
Learner 1987,Learner 1987@example.com,82
Learner 1988,Learner 1988@example.com,68
Learner 1989,Learner 1989@example.com,68
Learner 1990,Learner 1990@example.com,80
Learner 1991,Learner 1991@example.com,96
Learner 1992,Learner 1992@example.com,94
Learner 1993,Learner 1993@example.com,88
Learner 1994,Learner 1994@example.com,84
Learner 1995,Learner 1995@example.com,94
Learner 1996,Learner 1996@example.com,96
Learner 1997,Learner 1997@example.com,86
Learner 1998,Learner 1998@example.com,96
Learner 1999,Learner 1999@example.com,84
Learner 2000,Learner 2000@example.com,90
Learner 2001,Learner 2001@example.com,94
Learner 2002,Learner 2002@example.com,90
Learner 2003,Learner 2003@example.com,94
Learner 2004,Learner 2004@example.com,94
Learner 2005,Learner 2005@example.com,88
Learner 2006,Learner 2006@example.com,96
Learner 2007,Learner 2007@example.com,98
Learner 2008,Learner 2008@example.com,96
Learner 2009,Learner 2009@example.com,90
Learner 2010,Learner 2010@example.com,86
Learner 2011,Learner 2011@example.com,96
Learner 2012,Learner 2012@example.com,86
Learner 2013,Learner 2013@example.com,96
Learner 2014,Learner 2014@example.com,86
Learner 2015,Learner 2015@example.com,74
Learner 2016,Learner 2016@example.com,22
Learner 2017,Learner 2017@example.com,64
Learner 2018,Learner 2018@example.com,6
Learner 2019,Learner 2019@example.com,40
Learner 2020,Learner 2020@example.com,62
Learner 2021,Learner 2021@example.com,60
Learner 2022,Learner 2022@example.com,44
Learner 2023,Learner 2023@example.com,42
Learner 2024,Learner 2024@example.com,24
Learner 2025,Learner 2025@example.com,48
Learner 2026,Learner 2026@example.com,46
Learner 2027,Learner 2027@example.com,72
Learner 2028,Learner 2028@example.com,30
Learner 2029,Learner 2029@example.com,20
Learner 2030,Learner 2030@example.com,78
Learner 2031,Learner 2031@example.com,64
Learner 2032,Learner 2032@example.com,54
Learner 2033,Learner 2033@example.com,50
Learner 2034,Learner 2034@example.com,50
Learner 2035,Learner 2035@example.com,54
Learner 2036,Learner 2036@example.com,56
Learner 2037,Learner 2037@example.com,38
Learner 2038,Learner 2038@example.com,50
Learner 2039,Learner 2039@example.com,40
Learner 2040,Learner 2040@example.com,16
Learner 2041,Learner 2041@example.com,78
Learner 2042,Learner 2042@example.com,34
Learner 2043,Learner 2043@example.com,60
Learner 2044,Learner 2044@example.com,30
Learner 2045,Learner 2045@example.com,82
Learner 2046,Learner 2046@example.com,82
Learner 2047,Learner 2047@example.com,80
Learner 2048,Learner 2048@example.com,78
Learner 2049,Learner 2049@example.com,62
Learner 2050,Learner 2050@example.com,70
Learner 2051,Learner 2051@example.com,84
Learner 2052,Learner 2052@example.com,74
Learner 2053,Learner 2053@example.com,98
Learner 2054,Learner 2054@example.com,98
Learner 2055,Learner 2055@example.com,82
Learner 2056,Learner 2056@example.com,84
Learner 2057,Learner 2057@example.com,84
Learner 2058,Learner 2058@example.com,72
Learner 2059,Learner 2059@example.com,76
Learner 2060,Learner 2060@example.com,74
Learner 2061,Learner 2061@example.com,72
Learner 2062,Learner 2062@example.com,88
Learner 2063,Learner 2063@example.com,78
Learner 2064,Learner 2064@example.com,86
Learner 2065,Learner 2065@example.com,72
Learner 2066,Learner 2066@example.com,88
Learner 2067,Learner 2067@example.com,80
Learner 2068,Learner 2068@example.com,74
Learner 2069,Learner 2069@example.com,74
Learner 2070,Learner 2070@example.com,92
Learner 2071,Learner 2071@example.com,86
Learner 2072,Learner 2072@example.com,74
Learner 2073,Learner 2073@example.com,98
Learner 2074,Learner 2074@example.com,86
Learner 2075,Learner 2075@example.com,86
Learner 2076,Learner 2076@example.com,72
Learner 2077,Learner 2077@example.com,82
Learner 2078,Learner 2078@example.com,68
Learner 2079,Learner 2079@example.com,76
Learner 2080,Learner 2080@example.com,64
Learner 2081,Learner 2081@example.com,60
Learner 2082,Learner 2082@example.com,98
Learner 2083,Learner 2083@example.com,92
Learner 2084,Learner 2084@example.com,90
Learner 2085,Learner 2085@example.com,88
Learner 2086,Learner 2086@example.com,74
Learner 2087,Learner 2087@example.com,90
Learner 2088,Learner 2088@example.com,70
Learner 2089,Learner 2089@example.com,78
Learner 2090,Learner 2090@example.com,78
Learner 2091,Learner 2091@example.com,74
Learner 2092,Learner 2092@example.com,86
Learner 2093,Learner 2093@example.com,82
Learner 2094,Learner 2094@example.com,68
Learner 2095,Learner 2095@example.com,68
Learner 2096,Learner 2096@example.com,80
Learner 2097,Learner 2097@example.com,96
Learner 2098,Learner 2098@example.com,94
Learner 2099,Learner 2099@example.com,88
Learner 2100,Learner 2100@example.com,84
Learner 2101,Learner 2101@example.com,94
Learner 2102,Learner 2102@example.com,96
Learner 2103,Learner 2103@example.com,86
Learner 2104,Learner 2104@example.com,96
Learner 2105,Learner 2105@example.com,84
Learner 2106,Learner 2106@example.com,90
Learner 2107,Learner 2107@example.com,94
Learner 2108,Learner 2108@example.com,90
Learner 2109,Learner 2109@example.com,94
Learner 2110,Learner 2110@example.com,94
Learner 2111,Learner 2111@example.com,88
Learner 2112,Learner 2112@example.com,96
Learner 2113,Learner 2113@example.com,98
Learner 2114,Learner 2114@example.com,96
Learner 2115,Learner 2115@example.com,90
Learner 2116,Learner 2116@example.com,86
Learner 2117,Learner 2117@example.com,96
Learner 2118,Learner 2118@example.com,86
Learner 2119,Learner 2119@example.com,96
Learner 2120,Learner 2120@example.com,86
Learner 2121,Learner 2121@example.com,74
Learner 2122,Learner 2122@example.com,22
Learner 2123,Learner 2123@example.com,64
Learner 2124,Learner 2124@example.com,6
Learner 2125,Learner 2125@example.com,40
Learner 2126,Learner 2126@example.com,62
Learner 2127,Learner 2127@example.com,60
Learner 2128,Learner 2128@example.com,44
Learner 2129,Learner 2129@example.com,42
Learner 2130,Learner 2130@example.com,24
Learner 2131,Learner 2131@example.com,48
Learner 2132,Learner 2132@example.com,46
Learner 2133,Learner 2133@example.com,72
Learner 2134,Learner 2134@example.com,30
Learner 2135,Learner 2135@example.com,20
Learner 2136,Learner 2136@example.com,78
Learner 2137,Learner 2137@example.com,64
Learner 2138,Learner 2138@example.com,54
Learner 2139,Learner 2139@example.com,50
Learner 2140,Learner 2140@example.com,50
Learner 2141,Learner 2141@example.com,54
Learner 2142,Learner 2142@example.com,56
Learner 2143,Learner 2143@example.com,38
Learner 2144,Learner 2144@example.com,50
Learner 2145,Learner 2145@example.com,40
Learner 2146,Learner 2146@example.com,16
Learner 2147,Learner 2147@example.com,78
Learner 2148,Learner 2148@example.com,34
Learner 2149,Learner 2149@example.com,60
Learner 2150,Learner 2150@example.com,30
Learner 2151,Learner 2151@example.com,82
Learner 2152,Learner 2152@example.com,82
Learner 2153,Learner 2153@example.com,80
Learner 2154,Learner 2154@example.com,78
Learner 2155,Learner 2155@example.com,62
Learner 2156,Learner 2156@example.com,70
Learner 2157,Learner 2157@example.com,84
Learner 2158,Learner 2158@example.com,74
Learner 2159,Learner 2159@example.com,98
Learner 2160,Learner 2160@example.com,98
Learner 2161,Learner 2161@example.com,82
Learner 2162,Learner 2162@example.com,84
Learner 2163,Learner 2163@example.com,84
Learner 2164,Learner 2164@example.com,72
Learner 2165,Learner 2165@example.com,76
Learner 2166,Learner 2166@example.com,74
Learner 2167,Learner 2167@example.com,72
Learner 2168,Learner 2168@example.com,88
Learner 2169,Learner 2169@example.com,78
Learner 2170,Learner 2170@example.com,86
